master_benchmark started at Sun Apr 26 02:34:22 IST 2026
N values:     100 200 300 500 1000 1500
Delay values: 0.01 0.05 0.10
Total runs:   18

N       delay     status      notes
------  --------  ----------  -----
100     0.01      PASS        
100     0.05      PASS        
100     0.10      PASS        
200     0.01      PASS        
200     0.05      PASS        
200     0.10      PASS        
300     0.01      PASS        
300     0.05      PASS        
300     0.10      PASS        
500     0.01      PASS        
500     0.05      PASS        
500     0.10      PASS        
1000    0.01      PASS        
1000    0.05      PASS        
1000    0.10      PASS        
